"whiskey_id","author_id","review"
40,13,"A blend of house-made single malt and sourced pot-distilled light whiskey. Sweet campfire smoke wends its way through grain nut and toast aromas with hints of peppermint vanilla and milk chocolate. Smoke and sweetness interplay on the palate with vanilla nougat and smoked almonds. The abrupt finish comes off a bit hot but is mouthwatering all the same. It’s enchanting and a creative expression of smoke at times evoking a smoky Toblerone bar."
41,13,"A blend of bourbon and rye matured on a barge in the Mississippi River. A light fruitiness on the nose turns candied at times with raspberry-peach iced tea strawberry hard candies and grape soda. That quality carries over to the palate where cherry cough syrup and orange peel meet lemon and dry oak. The finish is quick with more fruitiness in the form of cherry skins. It’s light-bodied for the proof but with full flavor. (10300 bottles)"
42,2,"This limited release is aged in new charred oak like Michter’s bourbons and ryes but finished in uncharred barrels with a milder toast profile. Made from a mashbill that doesn’t qualify it as bourbon or rye it has a nose of perfumed oak candle wax iced tea orange blossom and wild strawberries. A silky palate of licorice spice raisins and dark fruits is followed by a finish of apple pear honey chocolate and oak."
43,2,"Made by Oregon’s Ransom Wine Co. & Distillery Emerald is an American interpretation of a traditional Irish pot still whiskey. The nose offers charred oak bitter orange toasted grain oatmeal dried leaves and cherry bitters. A spicy palate features notes of orange marmalade milk chocolate and red apples. Water unlocks flavors of candied melon fresh oranges and raspberries. The finish has charred oak chocolate fudge coffee and roasted malt."
44,12,"The nose is plucky and herbaceous with tarragon dill licorice and heaps of chili powder and cornmeal—a bit like elote from a street vendor. Savory flavors dominate the palate which is dry and nutty; water brings out meaty chili unsweetened chocolate and coffee bean. The finish has grilled corn more chili spices and roasted pecans. Water softens the edges but use a light touch so as not to over dilute."
45,12,"Delicately expressive on the nose with lemon icebox cookies pistachio ice cream almonds lemon-lime soda toasted oak and a hint of dried chili. There’s zingy citrus zipping through the oak-led palate which also has sweet vanilla hints of nuts spice and some savory dried chili. It finishes short with sweet oak. A blend of whiskeys made with wheat and malted barley and oats and malted barley. (Utah only)"
46,12,"The mashbill for this single pot still-style whiskey from Dry Fly Distilling contains oats along with wheat and malted and unmalted barley. The delicate nose has pistachio pudding carob chips dried flowers iced tea white pepper allspice and almond nougat. It’s led by oak on the palate but add a few drops of water and cherries berries candied violets almonds pistachios semi-sweet chocolate and gentle spices reveal themselves. Saving the best for last it finishes with cooked dark fruits varnish and leathery oak. (250 bottles)"
65,9,"I love Rogue beers as well as Rogue’s attitude and philosophy. But this whiskey just tastes too immature—harsh sweet and one-dimensional. Maybe with some additional aging it might come around mellow out and develop but it has a long way to go."
47,2,"This first release in a series combines 15 year old light whiskey and 8 year old Tennessee whiskey. Vanilla cake honeyed almonds and butterscotch on the nose balance against notes of antique shop dried leaves and undertones of herbs and barrel char. A creamy palate brings flavors of spiced chocolate baked cherries honeyed almonds and oak. Crème brûlée on the finish with baked croissant buttered almonds spiced oak tannins and candied orange."
48,11,"Off-market for two years. Nose of caramel sugar wafers and a touch of just-ripe nectarine. Sweet/smooth in the mouth with sweet mint rock candy and gliding King syrup flavors slipping all over the tongue while oak notes provide high spiciness. Finishes with a lingering light sweetness like a dissolving sugar flake. With all the sweetness though it doesn’t cloy. Nice if not complex."
49,5,"Two things show almost immediately: alcohol level and sherry cask. Heat and salty nuttiness really express themselves early on eventually followed by flavors of caramel chew graham cracker nutmeg and cinnamon with an unwanted bitterness. Walnut shell and smoked meat come along too for a medium finish that tingles. With a drop of water its bitterness turns to oak making it the preferred way to sip its hefty proof. Sourced whiskey."
50,12,"Piney and herbaceous on the nose with Popsicle stick lemongrass fresh oregano Lemon Pledge and a hint of vanilla. Light-bodied and silky in texture it has plenty of vanilla and toasted wood sweetness along with hints of herbs. The finish is short and a bit hot with simple oak flavors."
51,8,"Oak-forward with gentle sweetness and light in body this is a simple and enjoyable enough with straightforward vanilla and toasted nuts. The finish is a touch astringent as the drying oak tannins slightly overwhelm the modest fruit."
52,5,"Light straw color but its rich aroma contradicts its youthful color. Marshmallow and cotton candy really come out strong quickly followed by decadent bakery aromas. Fresh-baked muffins heavy whipping cream and vanilla icing with hints of caramelized barley and nutmeg. Its weaknesses are a slightly adhesive mouthfeel and short finish but the pronounced flavors still make it a borderline sipper or a just-add-water whiskey. Sourced whiskey."
53,2,"Distilled from a mashbill of oats malted barley rye and wheat then aged in heavily charred new oak barrels from Minnesota. The grains are sourced from a Midwestern organic farmer collective. The nose is herbaceous offering sarsaparilla vanilla licorice and menthol. A somewhat jagged palate has notes of pine ginger root vanilla sweet oak heat and pepper. The finish reprises the flavors of the palate—notably menthol pine oak ginger and vanilla."
54,12,"Sweet and simple from the start to finish this whiskey shows best on the nose with state-fair aromas of caramel corn cotton candy and bubble gum as well as vanilla meringue and coconut cream pie. There’s a slightly harsh note on the palate but it’s softened by vanilla yellow cake with white frosting and coconut. Very quick to finish."
55,13,"Made from unmalted barley malted barley and oats and aged in used bourbon and rye barrels. The nose is promising and evocative of a florist’s shop with notes of flower stems lime peel peach jam and orange blossom. The palate which can be rough and thin at times is less encouraging with faint floral notes grainy sawdust mustiness overripe fruit and hints of mushy citrus. The finish is short with dull oak. An Irish homage that needs further development."
56,12,"Generously woody with pencil shavings and lumber mingled with chamomile white flowers and vanilla on the nose. The light-bodied palate is sweet and floral with cloying milk chocolate toasted coconut and vanilla flavors. It’s just a bit simple and boring.

This or whiskey has been matured using alternative aging technology.
Actual Time in Barrel: minimum 6 months;
Processing: Distilled in Indiana and aged in new charred oak barrels then put through a “compression aged” process using new charred oak pieces."
57,12,"Youthful and light with aromas of vanilla-scented candle coconut pastry cream almond shell and prominent alcohol. The palate is nearly neutral showing reticent flavors of vanilla butterscotch pudding and lemon cake with the alcohol again quite evident. The finish is barely there: a bit of toasted oak and wood sugar."
58,2,"Hints of lime new oak and new leather on the nose as well as licorice candy. Well-textured—soft and fairly smooth—on the palate but with only faint notes of toffee praline pineapple and orange slices all struggling to emerge. There is also an overarching youthful overtone of new wood. In general the whiskey seems thin and lacking any great depth or vibrant flavors."
59,12,"Sweet kettle corn and caramel-covered nuts on the nose along with a smoky and woody aroma—dry toasted wood on a fire. The palate is led by sugary grain and wood char with caramel corn and grilled corn on the cob along with a hint of wood spice. It’s cloying and sweet on the finish yet retains strong oakiness. Distilled from a bourbon mash and “finished” with toasted wood chips using a proprietary technology."
60,9,"Layers of sweetness: concentrated vanilla marshmallow taffy white chocolate and caramel. Subtle underlying fruit. Palate: Again the layers of sweetness but not to the point of being cloying or unpleasant-underlying notes of oak and minty resinous spices emerge mid-palate and cut through the sweetness to keep it from dominating too much. Sweet and spicy finish."
61,12,"Sweet candied aromas pervade the nose: caramel corn watermelon Jolly Rancher orange Popsicle and strawberry Blow-Pop. There’s also shaved wood and construction paper. The silky palate holds dilute flavors of bubble gum candy vanilla and toasted wood and rapidly turns bitter on the finish"
62,11,"An odd touch of the roasted-grain smell of the dryhouse here then youthful whiskey underneath it: sweet mint barrel. Flavors tumble across the tongue: cocoa mint coconut grass and a bit of spice. This is six months in the barrel and it's good for that; I also like that it's all Montana-grown grain. But you have to wonder what it will be like after another four years."
63,5,"There’s promise here with peach dried apricot baking spice and vanilla delighting the olfactory and a slight hint of coffee just in case you needed it. But the intense heat shows itself and grain covers subtle sweetness and spice. The best high-proof whiskeys are actually quite smooth; this needs water to find its sweet spot. Sourced whiskey."
64,9,"A special limited edition release of Early Times whisky. Described as “Old Style Sour Mash” on the label. Simple straight-forward notes of soft vanilla sweet corn light caramel golden raisin and (with some coaxing) subtle anise. Youthful on the palate with a rather harsh oak finish. I’m happy for the celebration but a bit disappointed with the whisky. Two bottles of this (the volume equivalent of one standard 750 ml bottle) will set you back about $24 and there are many superior whiskies at this price point. Price is per 375ml bottle."
66,12,"Without water this oddball is deeply herbaceous and spiced with aniseed coriander hardwood smoke brown sugar and powerful oak throughout the nose and palate. Add some water and suddenly the sunbeam breaks through the crack in the curtain. There are still plenty of herbal and spice notes but now more dimension emerges—orange forest fruits semi-sweet chocolate coffee ice cream and sweet woodsmoke fully relaxed in its integration. The finish is savory then sweet—clean and rich a revelation. (150 bottles; U.S. exclusive)"
67,10,"Burning driftwood crisp bacon fat and melting asphalt in a heat wave cut through with vanilla cream butterscotch and chocolate ganache. Great Southern distillery has unleashed a multidimensional beast that opens innocently with vanilla and honey quickly blown away by a blast of salt and pepper before a deep primeval base of peat and spice well up from the depths of your soul. Amazingly great tenderness even at this strength with a long complex finish of smoke sweetness and spice. A$700"
68,12,"A curious single malt smoked with native Australian peat and mallee wood stumps and matured in port casks. The smoke expresses itself little on the nose which shows aromas of nougat apples pears blueberries blackcurrants raisins and a mineral freshness. But the palate allows plenty of room for the smoke which has a gentle herbaceous pungency of tarragon tobacco leaf and eucalyptus; there’s also licorice dark chocolate coffee bean and rich oak. The finish is equally rich with lingering herbal smoke. (120 bottles for the U.S.)"
69,10,"Aromatic spices scents of bleached driftwood and hints of bramble and blackcurrant on this blend of wheat and malt whiskies matured in Australian red wine barrels. The palate shifts quickly from white to milk chocolate red apple crème de cassis peppercorn spices and cookies but it’s soft and gentle finely structured with more dark fruits coming to the fore. The finish is drying and short with evaporating spice."
70,10,"Fresh clean aromas of key limes the waxy leaves of tropical greenhouse foliage and creamed coconut encased in chocolate. Plenty of acidity and exotic spices at play. There’s a bouquet of citrus and botanical notes to sip. Smooth with a big slug of warmth: white peach nectarine melon ground almond sliced lemon with spicy undertones. The finish is complex with plum skin cooked gooseberry tangerine oils and tingle of sherbet. A little beauty though the outturn seems woefully meager. (50 bottles) £150"
71,10,"Aromas of black grape sultana fresh plum and fennel seed arouse the senses. The Australian port-cask finish coats the bourbon characteristics enriching rather than saturating draping raspberry and cherry around caramels and runny honey. Sultana notes pull ahead the whole experience becoming buttery in the final stretch as the spices balance out. More spice to the fore on the finish pumping in the pepper while serving up rich cooked fruit. A highly respectable effort. A$135"
72,4,"This is the distillery's flagship brand and it's up there with anything New World whisky has to offer. The nose is subtle with plum and peach; on the palate there are chewy orange and other citrus notes honey coconut and caramel. The finish is sweet and rounded. A delicate and sophisticated whisky that reflects the rise and rise of this distillery. A$88"
73,4,"Lark is on Australia’s frontline but this is a hard sell. This is big bucks for untried whisky. No doubt though this is history in the making. There’s a big cinnamon and nutmeg kick to this and with water a rootsy sweet apple core and a menthol hit wrap themselves around flavors of crab apples and dates. It’s different easy to like and exciting. Australian whisky is on a roll. AUD220 (Not available in the U.S.)"
74,4,"Last year’s cask strength version was 55% and way too young. There is also a view that the early stages of maturation in port are not only inconsistent but can be negatively wayward. No such problems here. This is no longer an ugly duckling but a young swan: rich fruitcake fresh summer fruits and a charcoal undercarpet that helps quash the overly sweet notes. This then is the world's most improved whisky. A$170"
75,4,"Southern Coast Distillers is part of a new wave of distillers in Victoria South Australia and unlike many fledgling distilleries who bottle too early and learn their trade in public view with blemished linseed-sappy malt this distillery has hit the ground running and is already making fabulous whisky. There isn't an off note here and it combines lemon sherbet bonbons honeyed vanilla bitter dark chocolate licorice and some pepper. Delightful. A$110"
76,10,"First of two bottlings. The Old Hobart distillery used 100-liter sherry French oak quarter casks to create this beauty. Hediard fruit jellies (blackcurrant quince and mango) nutmeg cassia hot sand and caramelized biscuits. The sherry gives a willowy soft opener with tobacco bitter plums and Earl Grey tea bleeding out to dark toffees espresso and a Flemish biscuit note. Water produces a cappuccino finish. For the alcohol content the pair are similarly priced but this one offers greater rewards. £189"
77,10,"Braided apple puff pastry sultana custard a hint of blueberry and jam slathered over warm scones backed by hot chocolate and Christmas spices. The taste experience is surprising as just when it draws you in with green apples and banana custard it goes off on a tangent with mouth-drawing sour green plums peppercorn and candied wild strawberries and concludes with a ground ginger and peppery finish."
78,10,"This is more reassuringly tawny than the standard strength and the alcohol strength oozes out of the glass. The nose is cleaner and fresher than the standard with maraschino cherry freeze-dried raspberries white chocolate and tamarind pulp. Neat sips showcase rich dark fruits of blackcurrant black cherry and dense chew bars. A dash of water amplifies the sweet fruits with heavenly dusty aromatics and red fleshy fruits. Yours for a pretty penny. £189"
79,10,"It’s not bourbon but the mashbill contains corn rye and malted barley sourced from western Australia. It has zippy vanilla whole hazelnut hints of rye spiciness overlaid with taffy candy and fresh fruit. Syrupy sweetness drenches the taste buds peeling back honeyed layers to reveal vanilla melon ripe banana citrus and tropical green fruits diluting to delicious coconut creaminess. A moreish small batch whiskey with a finish of custard cream biscuits that sticks it to those boys in Tennessee. A$130"
80,4,"If you've tasted any Connemara Irish peated whiskey you'll know and love this. This whisky is the most improved in the Bakery Hill range so that now with water the peat weaves patterns round the standard green apple honey and vanilla heart of the malt. Australian peat is very different to that of Scotland and here it is wispy smoky and sweet. A$115"
81,4,"Nobody hollers louder than an Aussie when he wants to. This malt is matured in 100-liter American oak casks and finished in port barrels just as Cask M76 is (also reviewed this issue) but if M76 is about pub rock this is Wolfmother a hard-hitting rich forceful but complex wave of loveliness with fig and date to the fore baked peach and crystallized brown sugar. It's creamy rich mouth coating and there's some menthol cough drop in there for good measure. A$130"
82,10,"A bright golden whisky with a nose like a basket of fruits: green apple honeydew clementine and pastries. Made from Tasmanian barley and matured in bourbon and French oak barrels the fruity palate follows the journey begun with the nose though with greater emphasis on citrus than apple. Layer upon layer of peppery spice overlay some sour fruits ending on a finish of grapefruit sourness. (950 bottles)"
83,4,"You don’t want to argue with this sport or it’ll deck you. Look at the strength for a starter. But this is Australian whisky going off into a whole new direction and not taking prisoners on the way. It’s
Lark whisky mixed with another Tasmanian one so you get the big clove and nutmeg apple core and fermenting fruit notes but with honey and peat in the mix. Love it loathe it but you can’t ignore it. A$190"
84,4,"While much of the interest in Australian whisky has focused on Tasmania there are mainland distilleries such as The Great Southern Distilling Company and this one which have been making a major contribution to the country’s growing whisky reputation. In fact David Baker’s malt is as good as anything in Australasia. This is a Scotch-style single malt all clean fresh green fruit particularly apples and some orange. The taste is zingy with almonds and sweet chocolate-covered digestive biscuits. Delicious. AUD105 (Not available in the U.S.)"
